Week,Post #,Planned Date,Title,Type,Topic,Audience Hook,Visual,Status
Week 1-2,1,Fri Apr 10,I'm pivoting into AI Engineering — here's Week 1,Build Log,MLflow experiment tracking — 6 runs on brokerage data tracked & compared,We version code with Git. Why not ML models?,Animated flow: Train → Track → Compare → Promote,✅ Posted
Week 1-2,2,Mon Apr 13,Your ML model is getting worse right now,Value-Add Insight,Data drift detection — 2 of 3 features shifted on brokerage data,Models trained on old data silently degrade,Animated flow: Trained → Deployed → Drift → Retrain,📝 Ready
Week 3-4,3,Thu Apr 17,I deployed an ML model as a live API in 30 minutes,Build Log,FastAPI + Swagger UI — model served as REST endpoint,From Jupyter notebook to production API,Animated flow: Model → FastAPI → Swagger → Prediction,🔲 Planned
Week 3-4,4,Mon Apr 21,Your ML model is useless if nobody can call it,Value-Add Insight,Model serving patterns — why APIs matter for ML adoption,Most models never leave the data scientist's laptop,Animated flow: Notebook → API → Docker → Users,🔲 Planned
Week 3-4,5,Thu Apr 24,I containerized my ML model — here's why that matters,Build Log,Docker deployment — reproducible model serving,Works on my machine → works everywhere,Animated flow: Code → Docker → Deploy → Scale,🔲 Planned
Week 5-6,6,Mon Apr 28,I built a RAG pipeline on financial documents,Build Log,Vector RAG — embeddings + retrieval on brokerage docs,AI that reads your docs — not just the internet,Animated flow: Docs → Embeddings → Vector DB → Answer,🔲 Planned
Week 5-6,7,Thu May 1,Context engineering is the new prompt engineering,Value-Add Insight,Why what you feed the model matters more than how you ask,The best prompt can't fix bad context,Animated flow: Raw Query → Context Layer → LLM → Accurate Answer,🔲 Planned
Week 5-6,8,Mon May 5,Vector search vs. no vector search — I tested both,Build Log,Vectorless/reasoning-based RAG vs vector RAG comparison,Same data — two completely different approaches,Animated flow: Same Docs → Vector Path vs Reasoning Path → Compare,🔲 Planned
Week 7,9,Thu May 8,Which RAG approach wins on financial data? Here are the numbers,Value-Add Insight,Head-to-head comparison results with real metrics,The answer surprised me,Animated comparison: Vector RAG vs Vectorless RAG — scores side by side,🔲 Planned
Week 7,10,Mon May 12,What I learned building two RAG systems from scratch,Build Log,Lessons learned — when to use vector vs vectorless RAG,Not every problem needs a vector database,Animated decision flow: Use Case → Vector or Vectorless?,🔲 Planned
Week 8-9,11,Thu May 15,I built an AI agent that checks brokerage compliance,Build Log,Multi-tool agent — RAG + ML + compliance rules on brokerage data,An AI that doesn't just answer — it acts,Animated flow: Query → Agent → RAG Tool + ML Tool + Compliance → Response,🔲 Planned
Week 8-9,12,Mon May 19,Agentic AI is not a chatbot — here's the difference,Value-Add Insight,Agent patterns — tool use + reasoning + multi-step planning,Chatbots answer questions. Agents solve problems.,Animated comparison: Chatbot (single step) vs Agent (multi-step with tools),🔲 Planned
Week 8-9,13,Thu May 22,Why domain expertise is the moat in AI engineering,Value-Add Insight,Finance + AI intersection — why generalists can't compete here,AI tools are commoditized. Domain knowledge isn't.,Animated flow: Generic AI → Add Domain Expertise → 10x More Valuable,🔲 Planned
Week 10,14,Mon May 26,11 weeks ago I couldn't spell MLflow — here's what I built,Journey Recap,Full portfolio walkthrough — MLOps → Serving → RAG → Agents,The complete arc from Java engineer to AI engineer,Animated timeline: Week 1 → Week 11 milestones,🔲 Planned
Week 10,15,Thu May 29,The AI engineering skills that actually get you hired,Value-Add Insight,Market analysis — which AI skills command the highest rates,Not all AI skills are created equal,Animated tier list: Skills ranked by market demand,🔲 Planned
